disaster_id,name_int,name_local,type,subtype,date_start,date_end,date_year,date_month
Epidemic_2004-07-07_AcuteGastroenteritis(AGE)Outbreak,,Acute Gastroenteritis (AGE) Outbreak,Epidemic,Epidemic,2004-07-07,2004-07-30,2004,07
Epidemic_2004-07-01_DenguecasesinNuevaEcija,,Dengue cases in Nueva Ecija,Epidemic,Dengue,2004-07-01,2004-07-26,2004,07
Human-InducedHazard_2004-07-26_LPGExplosioninamotorizedbanca,,LPG Explosion in a motorized banca,Human-Induced Hazard,,2004-07-26,,2004,07
Human-InducedHazard_2004-07-23_EightStoreyBuilding(SAIBldg),,Eight Storey Building (SAI Bldg),Human-Induced Hazard,,2004-07-23,,2004,07
Human-InducedHazard_2004-07-10_,,,Human-Induced Hazard,,2004-07-10,,2004,07
Human-InducedHazard_2004-07-11_,,,Human-Induced Hazard,,2004-07-11,,2004,07
Human-InducedHazard_2004-07-18_,,,Human-Induced Hazard,,2004-07-18,,2004,07
Human-InducedHazard_2004-07-21_,,,Human-Induced Hazard,,2004-07-21,,2004,07
Human-InducedHazard_2004-07-23_,,,Human-Induced Hazard,,2004-07-23,,2004,07
Human-InducedHazard_2004-07-24_,,,Human-Induced Hazard,,2004-07-24,,2004,07
Human-InducedHazard_2004-07-26_,,,Human-Induced Hazard,,2004-07-26,,2004,07
Human-InducedHazard_2004-07-29_,,,Human-Induced Hazard,,2004-07-29,,2004,07
"Mass Movement_2004-07-10_Mass MovementatAtok,Benguet",,"Mass Movement at Atok, Benguet",Mass Movement,,2004-07-10,,2004,07
"Mass Movement_2004-07-25_Mass MovementatQuezon,Bukidnon",,"Mass Movement at Quezon, Bukidnon",Mass Movement,,2004-07-25,,2004,07
Flooding_2004-07-12_FlashfloodIncidentsbroughtaboutbytheeffectsofTyphoonIgme,,Flashflood Incidents brought about by the effects of Typhoon Igme,Flooding,Flash Flood,2004-07-12,,2004,07
"Flooding__FlashfloodinMabalacat,Pampaga",,"Flashflood in Mabalacat, Pampaga",Flooding,Flash Flood,,,,
"Flooding__FloodinginTupi,SouthCotabato",,"Flooding in Tupi, South Cotabato",Flooding,,,,,
"Tornado__TornadoatBrgy.Buras,TacurongCity",,"Tornado at Brgy. Buras, Tacurong City",Tornado,,,,,
"Tornado_2004-07-21_TornadoatBrgy.Luna,Apayao",,"Tornado at Brgy. Luna, Apayao",Tornado,,2004-07-21,,2004,07
"Tornado_2004-07-29_TornadaoatAnao,Tarlac",,"Tornadao at Anao, Tarlac",Tornado,,2004-07-29,,2004,07
"Earthquake__EarthquakeatBasco,Batanes",,"Earthquake at Basco, Batanes",Earthquake,,,,,
TropicalCyclone_2004-07-14_TropicalStormJulian,Tropical Storm Kompasu,Tropical Storm Julian,Tropical Cyclone,Weather Disturbance,2004-07-14,2004-07-15,2004,07
TropicalCyclone_2005-03-14_TyphoonAuring,Severe Tropical Storm Roke,Typhoon Auring,Tropical Cyclone,,2005-03-14,2005-03-18,2005,03
TropicalCyclone_2005-08-02_TyphoonFeria,Typhoon Haitang,Typhoon Feria,Tropical Cyclone,,2005-08-02,2005-08-05,2005,08
TropicalCyclone_2005-09-21_TropicalStormLabuyo,Typhoon Damrey,Tropical Storm Labuyo,Tropical Cyclone,,2005-09-21,2005-09-23,2005,09
TropicalCyclone_2005-12-16_TropicalDepressionQuedan,Tropical Depression 25W,Tropical Depression Quedan,Tropical Cyclone,,2005-12-16,2005-12-18,2005,12
TropicalCyclone_2003-07-30_TropicalDepressionIneng,n/a,Tropical Depression Ineng,Tropical Cyclone,Tropical Depression,2003-07-30,2003-07-31,2003,07
TropicalCyclone_2003-09-02_TyphoonOnyok,Typhoon Dujuan,Typhoon Onyok,Tropical Cyclone,Typhoon,2003-09-02,2003-09-03,2003,09
TropicalCyclone_2003-10-29_TropicalDepressionUrsula,Tropical Depression 22W,Tropical Depression Ursula,Tropical Cyclone,Tropical Depression,2003-10-29,,2003,10
TropicalCyclone_2003-11-27_TyphoonAlertYoyoy,Typhoon Lupit,Typhoon Alert Yoyoy,Tropical Cyclone,Typhoon Alert,2003-11-27,2003-11-30,2003,11
TropicalCyclone_2003-11-02_TropicalStormViring,Severe Tropical Storm Melor,Tropical Storm Viring,Tropical Cyclone,Tropical Storm,2003-11-02,2003-11-03,2003,11
TropicalCyclone_2003-12-25_TropicalDepressionZigzag,Tropical Depression 27W,Tropical Depression Zigzag,Tropical Cyclone,Tropical Depression,2003-12-25,2003-12-28,2003,12
TropicalCyclone_2004-11-14_TyphoonUnding,Typhoon Muifa,Typhoon Unding,Tropical Cyclone,Typhoon,2004-11-14,2004-11-21,2004,11
TropicalCyclone_2004-11-22_TropicalStormVioleta,Tropical Storm Merbok,Tropical Storm Violeta,Tropical Cyclone,Tropical Storm,2004-11-22,2004-11-26,2004,11
